Country,Continent,Year,Infectious_disease,CasesTotal,Deaths,CLIMATIC,CONFLICTS,ECOLOGICAL,ECONOMIC,GEOPHYSICAL,TECHNOLOGICAL,outbreak,CLIMATIC_lag_avg,CLIMATIC_lead_avg,CONFLICTS_lag_avg,CONFLICTS_lead_avg,ECOLOGICAL_lag_avg,ECOLOGICAL_lead_avg,ECONOMIC_lag_avg,ECONOMIC_lead_avg,GEOPHYSICAL_lag_avg,GEOPHYSICAL_lead_avg,TECHNOLOGICAL_lag_avg,TECHNOLOGICAL_lead_avg,outbreak_lag_avg,outbreak_lead_avg
Serbia,Europe,2001,0,0,0,-1.7975086138351444,-13.674794593161941,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.335189814814815,-1.6878240740740742,-5.603694444444445,-25.309240740740737,-0.04281481481481481,-0.04489351851851852,0.6128703703703704,0.3119166666666667,-0.12205555555555556,-0.11505555555555556,-1.3992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
Serbia,Europe,2002,0,0,0,-1.7975086138351444,-22.67479459316194,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.335189814814815,-1.287824074074074,-5.203694444444444,-25.50924074074074,-0.04281481481481481,-0.04489351851851852,0.6128703703703704,0.11191666666666661,-0.12205555555555556,-0.11505555555555556,-1.3992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
Serbia,Europe,2003,0,0,0,-1.7975086138351444,-18.67479459316194,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.335189814814815,-1.287824074074074,-9.003694444444445,-25.70924074074074,-0.04281481481481481,-0.04489351851851852,0.6128703703703704,-0.08808333333333335,-0.12205555555555556,-0.11505555555555556,-1.3992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
Serbia,Europe,2004,1,0,0,-1.7975086138351444,-23.67479459316194,0.0,0.46276172806785054,0.0,-1.5926318579379803,1,-1.335189814814815,-0.8878240740740742,-13.003694444444445,-25.109240740740738,-0.04281481481481481,-0.04489351851851852,0.6128703703703704,-0.28808333333333336,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
Serbia,Europe,2005,0,0,0,-1.7975086138351444,-22.67479459316194,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.535189814814815,0.11217592592592585,-15.603694444444445,-25.109240740740738,-0.04281481481481481,-0.04489351851851852,0.6128703703703704,-0.48808333333333337,-0.12205555555555556,0.08494444444444445,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.060912037037037015
Serbia,Europe,2006,0,0,0,-0.7975086138351444,-22.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.735189814814815,0.5121759259259258,-16.803694444444446,-24.70924074074074,-0.04281481481481481,-0.04489351851851852,0.41287037037037044,-0.48808333333333337,-0.12205555555555556,0.08494444444444445,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.060912037037037015
Serbia,Europe,2007,0,0,0,0.20249138616485562,-23.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.535189814814815,0.5121759259259258,-18.603694444444443,-24.70924074074074,-0.04281481481481481,-0.04489351851851852,0.2128703703703705,-0.48808333333333337,-0.12205555555555556,0.08494444444444445,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.060912037037037015
Serbia,Europe,2008,0,0,0,-1.7975086138351444,-19.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.1351898148148152,1.1121759259259258,-18.803694444444446,-25.15924074074074,-0.04281481481481481,-0.04489351851851852,0.01287037037037042,-0.48808333333333337,-0.12205555555555556,0.13494444444444442,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.010912037037037026
Serbia,Europe,2009,1,0,0,0.20249138616485562,-20.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,1,-1.1351898148148152,1.4455092592592593,-19.003694444444445,-25.575907407407406,-0.04281481481481481,-0.04489351851851852,-0.18712962962962953,-0.48808333333333337,-0.12205555555555556,0.21827777777777774,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.260912037037037
Serbia,Europe,2010,0,0,0,3.202491386164856,-22.67479459316194,0.0,-0.5372382719321495,1.0,-1.5926318579379803,0,-0.735189814814815,0.6121759259259258,-18.403694444444444,-25.40924074074074,-0.04281481481481481,-0.04489351851851852,-0.38712962962962955,-0.48808333333333337,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.621773148148148,-0.03171296296296297,-0.260912037037037
